Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
23 June 2004 (2004-06-23),19:45,Netherlands , Latvia,3,0,Group D,,Estádio Municipal de Braga, Braga,27904,2004
23 June 2004 (2004-06-23),19:45,Germany , Czech Republic,1,2,Group D,,Estádio José Alvalade, Lisbon,46849,2004
24 June 2004 (2004-06-24),19:45,Portugal , England,2,2,Quarter-finals,Portugal  win on Penalities 6–5,Estádio da Luz, Lisbon,62564,2004
25 June 2004 (2004-06-25),19:45,France , Greece,0,1,Quarter-finals,,Estádio José Alvalade, Lisbon,45390,2004
26 June 2004 (2004-06-26),19:45,Sweden , Netherlands,0,0,Quarter-finals, Netherlands win on Penalities 4–5,Estádio Algarve, Faro/Loulé,27762,2004
27 June 2004 (2004-06-27),19:45,Czech Republic , Denmark,3,0,Quarter-finals,,Estádio do Dragão, Porto,41092,2004
30 June 2004 (2004-06-30),19:45,Portugal , Netherlands,2,1,Semi-finals,,Estádio José Alvalade, Lisbon,46679,2004
1 July 2004 (2004-07-01),19:45,Greece , Czech Republic,1,0,Semi-finals,Greece  win after extra time ,Estádio do Dragão, Porto,42449,2004
4 July 2004 (2004-07-04),19:45,Portugal , Greece,0,1,Final,,Estádio da Luz, Lisbon,62865,2004
7 June 2008 (2008-06-07),18:00,Switzerland  , Czech Republic,0,1,Group A,,St. Jakob-Park, Basel,39730,2008
7 June 2008 (2008-06-07),20:45,Portugal , Turkey,2,0,Group A,,Stade de Genève, Geneva,29106,2008
11 June 2008 (2008-06-11),18:00,Czech Republic , Portugal,1,3,Group A,,Stade de Genève, Geneva,29016,2008
11 June 2008 (2008-06-11),20:45,Switzerland  , Turkey,1,2,Group A,,St. Jakob-Park, Basel,39730,2008
15 June 2008 (2008-06-15),20:45,Switzerland  , Portugal,2,0,Group A,,St. Jakob-Park, Basel,39730,2008
15 June 2008 (2008-06-15),20:45,Turkey , Czech Republic,3,2,Group A,,Stade de Genève, Geneva,29016,2008
8 June 2008 (2008-06-08),18:00,Austria , Croatia,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
8 June 2008 (2008-06-08),20:45,Germany , Poland,2,0,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
12 June 2008 (2008-06-12),18:00,Croatia , Germany,2,1,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
12 June 2008 (2008-06-12),20:45,Austria , Poland,1,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
16 June 2008 (2008-06-16),20:45,Poland , Croatia,0,1,Group B,,Wörthersee Stadion, Klagenfurt,30461,2008
16 June 2008 (2008-06-16),20:45,Austria , Germany,0,1,Group B,,Ernst-Happel-Stadion, Vienna,51428,2008
9 June 2008 (2008-06-09),18:00,Romania , France,0,0,Group C,,Letzigrund, Zürich,30585,2008
9 June 2008 (2008-06-09),20:45,Netherlands , Italy,3,0,Group C,,Stade de Suisse, Bern,30777,2008
13 June 2008 (2008-06-13),18:00,Italy , Romania,1,1,Group C,,Letzigrund, Zürich,30585,2008
13 June 2008 (2008-06-13),20:45,Netherlands , France,4,1,Group C,,Stade de Suisse, Bern,30777,2008
17 June 2008 (2008-06-17),20:45,Netherlands , Romania,2,0,Group C,,Stade de Suisse, Bern,30777,2008
17 June 2008 (2008-06-17),20:45,France , Italy,0,2,Group C,,Letzigrund, Zürich,30585,2008
10 June 2008 (2008-06-10),18:00,Spain , Russia,4,1,Group D,,Tivoli-Neu, Innsbruck,30772,2008
10 June 2008 (2008-06-10),20:45,Greece , Sweden,0,2,Group D,,Stadion Wals-Siezenheim, Salzburg,31063,2008
